 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =   0.54357999999999995       eV
 efermi =   -8.1312016499999995       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.4678628616E+000  -0.8575150165E-004   0.8427974880E-004   0.9625590900E+000  -0.8908700000E-004   0.8755800000E-004
  -0.4641879307E+000  -0.8300253718E-004   0.8695238273E-004   0.9617349769E+000  -0.8630500000E-004   0.9041200000E-004
  -0.4605129998E+000  -0.8031849302E-004   0.8963128340E-004   0.9608739550E+000  -0.8358900000E-004   0.9328100000E-004
  -0.4568380689E+000  -0.7769929525E-004   0.9231489181E-004   0.9599735016E+000  -0.8093900000E-004   0.9616400000E-004
  -0.4531631380E+000  -0.7514390401E-004   0.9500063796E-004   0.9590308600E+000  -0.7835400000E-004   0.9905900000E-004
  -0.4494882071E+000  -0.7265223376E-004   0.9768206549E-004   0.9580430119E+000  -0.7583400000E-004   0.1019600000E-003
  -0.4458132762E+000  -0.7022131964E-004   0.1003708570E-003   0.9570066458E+000  -0.7337600000E-004   0.1048800000E-003
  -0.4421383453E+000  -0.6785202415E-004   0.1030479735E-003   0.9559181211E+000  -0.7098100000E-004   0.1078000000E-003
  -0.4384634144E+000  -0.6554328615E-004   0.1057220615E-003   0.9547734260E+000  -0.6864800000E-004   0.1107300000E-003
  -0.4347884835E+000  -0.6329308461E-004   0.1083825536E-003   0.9535681297E+000  -0.6637500000E-004   0.1136600000E-003
  -0.4311135526E+000  -0.6110130105E-004   0.1110283453E-003   0.9522973263E+000  -0.6416200000E-004   0.1165900000E-003
  -0.4274386217E+000  -0.5896685300E-004   0.1136677193E-003   0.9509555703E+000  -0.6200800000E-004   0.1195300000E-003
  -0.4237636908E+000  -0.5688864880E-004   0.1162897720E-003   0.9495368007E+000  -0.5991200000E-004   0.1224700000E-003
  -0.4200887599E+000  -0.5486558630E-004   0.1188834953E-003   0.9480342527E+000  -0.5787300000E-004   0.1254000000E-003
  -0.4164138290E+000  -0.5289749777E-004   0.1214661549E-003   0.9464403530E+000  -0.5589100000E-004   0.1283400000E-003
  -0.4127388981E+000  -0.5098136063E-004   0.1240168858E-003   0.9447465973E+000  -0.5396300000E-004   0.1312700000E-003
  -0.4090639672E+000  -0.4911792191E-004   0.1265430048E-003   0.9429434040E+000  -0.5209000000E-004   0.1342000000E-003
  -0.4053890363E+000  -0.4730601341E-004   0.1290420644E-003   0.9410199402E+000  -0.5027100000E-004   0.1371300000E-003
  -0.4017141054E+000  -0.4554444463E-004   0.1315018961E-003   0.9389639136E+000  -0.4850500000E-004   0.1400500000E-003
  -0.3980391745E+000  -0.4383199901E-004   0.1339193986E-003   0.9367613219E+000  -0.4679100000E-004   0.1429600000E-003
  -0.3943642436E+000  -0.4216649503E-004   0.1363003663E-003   0.9343961493E+000  -0.4512700000E-004   0.1458700000E-003
  -0.3906893127E+000  -0.4054945265E-004   0.1386313242E-003   0.9318499977E+000  -0.4351500000E-004   0.1487700000E-003
  -0.3870143818E+000  -0.3897674269E-004   0.1409075540E-003   0.9291016351E+000  -0.4195100000E-004   0.1516600000E-003
  -0.3833394509E+000  -0.3744884873E-004   0.1431328413E-003   0.9261264400E+000  -0.4043600000E-004   0.1545500000E-003
  -0.3796645200E+000  -0.3596432301E-004   0.1452822430E-003   0.9228957122E+000  -0.3896900000E-004   0.1574200000E-003
  -0.3759895891E+000  -0.3452164246E-004   0.1473575555E-003   0.9193758144E+000  -0.3754900000E-004   0.1602800000E-003
  -0.3723146582E+000  -0.3312010812E-004   0.1493499347E-003   0.9155270932E+000  -0.3617600000E-004   0.1631300000E-003
  -0.3686397273E+000  -0.3175707003E-004   0.1512488784E-003   0.9113025146E+000  -0.3484800000E-004   0.1659700000E-003
  -0.3649647982E+000  -0.3043066397E-004   0.1530418329E-003   0.9066459292E+000  -0.3356400000E-004   0.1688000000E-003
  -0.3612898673E+000  -0.2913975735E-004   0.1547136851E-003   0.9014898325E+000  -0.3232400000E-004   0.1716200000E-003
  -0.3576149364E+000  -0.2788298374E-004   0.1562371506E-003   0.8957524973E+000  -0.3112800000E-004   0.1744200000E-003
  -0.3539400055E+000  -0.2665601446E-004   0.1575989164E-003   0.8893342160E+000  -0.2997300000E-004   0.1772100000E-003
  -0.3502650746E+000  -0.2545864586E-004   0.1587625890E-003   0.8821123960E+000  -0.2886100000E-004   0.1799800000E-003
  -0.3465901437E+000  -0.2428578272E-004   0.1597116410E-003   0.8739351082E+000  -0.2778900000E-004   0.1827500000E-003
  -0.3429152128E+000  -0.2313443903E-004   0.1603769891E-003   0.8646125887E+000  -0.2675700000E-004   0.1854900000E-003
  -0.3392402819E+000  -0.2200088982E-004   0.1607221999E-003   0.8539060670E+000  -0.2576500000E-004   0.1882200000E-003
  -0.3355653510E+000  -0.2087962628E-004   0.1606785363E-003   0.8415132308E+000  -0.2481200000E-004   0.1909400000E-003
  -0.3318904201E+000  -0.1976400810E-004   0.1601499154E-003   0.8270497596E+000  -0.2389700000E-004   0.1936400000E-003
  -0.3282154892E+000  -0.1864520302E-004   0.1590245137E-003   0.8100270667E+000  -0.2301800000E-004   0.1963200000E-003
  -0.3245405583E+000  -0.1751602652E-004   0.1571600738E-003   0.7898284945E+000  -0.2217700000E-004   0.1989800000E-003
  -0.3208656274E+000  -0.1636359320E-004   0.1543863786E-003   0.7656915072E+000  -0.2137100000E-004   0.2016300000E-003
  -0.3171906965E+000  -0.1517706711E-004   0.1504887869E-003   0.7367150679E+000  -0.2060100000E-004   0.2042700000E-003
  -0.3135157656E+000  -0.1394389998E-004   0.1452159088E-003   0.7019330471E+000  -0.1986500000E-004   0.2068800000E-003
  -0.3098408347E+000  -0.1265760441E-004   0.1383663817E-003   0.6605231130E+000  -0.1916300000E-004   0.2094800000E-003
  -0.3061659038E+000  -0.1132306433E-004   0.1298280087E-003   0.6122229969E+000  -0.1849500000E-004   0.2120600000E-003
  -0.3024909729E+000  -0.9963724607E-005   0.1197387634E-003   0.5579105553E+000  -0.1785900000E-004   0.2146200000E-003
  -0.2988160420E+000  -0.8627500000E-005   0.1085800000E-003   0.5000000000E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2951411111E+000  -0.7628253368E-005   0.9600414381E-004   0.4420894447E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2914661802E+000  -0.6691092189E-005   0.8420965400E-004   0.3877770031E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2877912493E+000  -0.5857673685E-005   0.7372080077E-004   0.3394768870E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2841163184E+000  -0.5143145273E-005   0.6472821950E-004   0.2980669529E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2804413875E+000  -0.4542981504E-005   0.5717495586E-004   0.2632849321E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2767664566E+000  -0.4042993043E-005   0.5088243229E-004   0.2343084928E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2730915257E+000  -0.3626509328E-005   0.4564084414E-004   0.2101715055E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2694165948E+000  -0.3277982964E-005   0.4125452219E-004   0.1899729333E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2657416639E+000  -0.2984256399E-005   0.3755787421E-004   0.1729502404E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2620667330E+000  -0.2734689203E-005   0.3441698681E-004   0.1584867692E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2583918021E+000  -0.2520850813E-005   0.3172575848E-004   0.1460939330E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2547168712E+000  -0.2336109783E-005   0.2940073025E-004   0.1353874113E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2510419403E+000  -0.2175249707E-005   0.2737625189E-004   0.1260648918E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2473670094E+000  -0.2034150607E-005   0.2560047209E-004   0.1178876040E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2436920785E+000  -0.1909538102E-005   0.2403218164E-004   0.1106657840E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2400171476E+000  -0.1798790659E-005   0.2263838768E-004   0.1042475027E+000  -0.1725500000E-004   0.2171600000E-003
  -0.2363422167E+000  -0.1699792940E-005   0.2139246797E-004   0.9851016750E-001  -0.1725500000E-004   0.2171600000E-003
  -0.2326672858E+000  -0.1610824491E-005   0.2027277001E-004   0.9335407076E-001  -0.1725500000E-004   0.2171600000E-003
  -0.2289923549E+000  -0.1530475072E-005   0.1926154544E-004   0.8869748316E-001  -0.1725500000E-004   0.2171600000E-003
  -0.2253174240E+000  -0.1457579972E-005   0.1834413601E-004   0.8447290480E-001  -0.1725500000E-004   0.2171600000E-003
  -0.2216424931E+000  -0.1391170290E-005   0.1750834774E-004   0.8062418373E-001  -0.1725500000E-004   0.2171600000E-003
  -0.2179675622E+000  -0.1330434457E-005   0.1674396677E-004   0.7710428612E-001  -0.1725500000E-004   0.2171600000E-003
  -0.2142926313E+000  -0.1274688252E-005   0.1604238196E-004   0.7387355850E-001  -0.1725500000E-004   0.2171600000E-003
  -0.2106177004E+000  -0.1223351261E-005   0.1539628861E-004   0.7089836346E-001  -0.1725500000E-004   0.2171600000E-003
  -0.2069427695E+000  -0.1175928267E-005   0.1479945421E-004   0.6815000099E-001  -0.1725500000E-004   0.2171600000E-003
  -0.2032678386E+000  -0.1131994422E-005   0.1424653195E-004   0.6560384946E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1995929077E+000  -0.1091183371E-005   0.1373291109E-004   0.6323867695E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1959179768E+000  -0.1053177653E-005   0.1325459629E-004   0.6103608534E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1922430459E+000  -0.1017700915E-005   0.1280810958E-004   0.5898005885E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1885681150E+000  -0.9845115485E-006   0.1239041019E-004   0.5705659510E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1848931841E+000  -0.9533974483E-006   0.1199882874E-004   0.5525340181E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1812182532E+000  -0.9241716948E-006   0.1163101276E-004   0.5355964618E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1775433223E+000  -0.8966689569E-006   0.1128488152E-004   0.5196574656E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1738683914E+000  -0.8707424911E-006   0.1095858820E-004   0.5046319856E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1701934605E+000  -0.8462616231E-006   0.1065048821E-004   0.4904442904E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1665185296E+000  -0.8231096237E-006   0.1035911248E-004   0.4770267306E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1628435987E+000  -0.8011819115E-006   0.1008314482E-004   0.4643186969E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1591686678E+000  -0.7803845237E-006   0.9821402676E-005   0.4522657338E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1554937369E+000  -0.7606328107E-006   0.9572820699E-005   0.4408187834E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1518188060E+000  -0.7418503174E-006   0.9336436681E-005   0.4299335366E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1481438751E+000  -0.7239678214E-006   0.9111379432E-005   0.4195698762E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1444689442E+000  -0.7069225021E-006   0.8896858334E-005   0.4096913950E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1407940133E+000  -0.6906572214E-006   0.8692154285E-005   0.4002649791E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1371190824E+000  -0.6751198988E-006   0.8496611836E-005   0.3912604456E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1334441515E+000  -0.6602629669E-006   0.8309632332E-005   0.3826502271E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1297692206E+000  -0.6460428948E-006   0.8130667924E-005   0.3744090958E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1260942897E+000  -0.6324197711E-006   0.7959216314E-005   0.3665139213E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1224193588E+000  -0.6193569371E-006   0.7794816138E-005   0.3589434582E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1187444279E+000  -0.6068206629E-006   0.7637042896E-005   0.3516781588E-001  -0.1725500000E-004   0.2171600000E-003
  -0.1150694970E+000  -0.5947798625E-006   0.7485505357E-005   0.3447000072E-001  -0.1725500000E-004   0.2171600000E-003
