# Once                                                             FEFF 10.0.0
# POT  SCF  30  0.0000   0, NO core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=11 Rmt= 1.554 Rnm= 1.582 K  shell
# Pot 1 Z=11 Rmt= 1.554 Rnm= 1.582
# Pot 2 Z=12 Rmt= 1.690 Rnm= 1.743
# Pot 3 Z=12 Rmt= 1.671 Rnm= 1.732
# Pot 4 Z=12 Rmt= 1.668 Rnm= 1.725
# Pot 5 Z=12 Rmt= 1.689 Rnm= 1.745
# Pot 6 Z=26 Rmt= 1.668 Rnm= 1.729
# Gam_ch=3.090E-01 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-9.336E+00eV kf=1.461E+00 Vint=-1.537E+01eV Rs_int= 2.483
#  -----------------------------------------------------------------------
#   0.98398E+00  0.10604E+01  0.45010E+00 -0.3431037E+00  0.3955940E+02 method to calculate xsect
#   3.0899000E-01    351    301
#       em              xsnorm            xsec  
 -0.393363303E+02  0.15449E+00  0.98221E-02  0.22153E-01  0.53950E-03
 -0.392363303E+02  0.15449E+00  0.99789E-02  0.22506E-01  0.55830E-03
 -0.391363303E+02  0.15449E+00  0.10142E-01  0.22871E-01  0.57810E-03
 -0.390363303E+02  0.15449E+00  0.10312E-01  0.23249E-01  0.59898E-03
 -0.389363303E+02  0.15449E+00  0.10489E-01  0.23641E-01  0.62102E-03
 -0.388363303E+02  0.15449E+00  0.10673E-01  0.24047E-01  0.64432E-03
 -0.387363303E+02  0.15449E+00  0.10865E-01  0.24469E-01  0.66895E-03
 -0.386363303E+02  0.15449E+00  0.11066E-01  0.24907E-01  0.69504E-03
 -0.385363303E+02  0.15449E+00  0.11275E-01  0.25363E-01  0.72269E-03
 -0.384363303E+02  0.15449E+00  0.11493E-01  0.25837E-01  0.75203E-03
 -0.383363303E+02  0.15449E+00  0.11721E-01  0.26330E-01  0.78321E-03
 -0.382363303E+02  0.15449E+00  0.11960E-01  0.26844E-01  0.81639E-03
