natx =      335
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      0.00000     -1.51483     -2.67103   3      3.07069
     -0.00000      1.51483     -2.67103   3      3.07069
      2.49155      1.63661     -0.77538   2      3.08018
     -2.49155     -1.63661     -0.77538   2      3.08018
      2.49155     -1.63661     -0.77538   2      3.08018
     -2.49155      1.63661     -0.77538   2      3.08018
     -2.49155      0.00000      1.89866   1      3.13253
      2.49155      0.00000      1.89866   1      3.13253
      0.00000     -1.75837      2.63333   3      3.16643
     -0.00000      1.75837      2.63333   3      3.16643
      0.00000     -3.27320      0.07334   4      3.27402
     -0.00000      3.27320      0.07334   4      3.27402
     -2.49155      0.00000     -3.38058   6      4.19954
      2.49155      0.00000     -3.38058   6      4.19954
     -2.49155     -3.27320      1.92379   6      4.54121
      2.49155     -3.27320      1.92379   6      4.54121
      2.49155      3.27320      1.92379   6      4.54121
     -2.49155      3.27320      1.92379   6      4.54121
     -4.98311      0.00000      0.00000   5      4.98311
      4.98311      0.00000      0.00000   5      4.98311
      0.00000      0.00000     -5.23102   4      5.23102
      2.49155     -3.27320     -3.40570   1      5.34045
      2.49155      3.27320     -3.40570   1      5.34045
     -2.49155     -3.27320     -3.40570   1      5.34045
     -2.49155      3.27320     -3.40570   1      5.34045
      0.00000      0.00000      5.37770   4      5.37770
     -2.49155     -1.63659      4.52898   2      5.42199
     -2.49155      1.63659      4.52898   2      5.42199
      2.49155     -1.63659      4.52898   2      5.42199
      2.49155      1.63659      4.52898   2      5.42199
     -0.00000      4.78803      2.63333   3      5.46440
      0.00000     -4.78803      2.63333   3      5.46440
      2.49155     -4.90979     -0.77538   2      5.56014
     -2.49155     -4.90979     -0.77538   2      5.56014
      2.49155      4.90979     -0.77538   2      5.56014
     -2.49155      4.90979     -0.77538   2      5.56014
     -0.00000      5.03157     -2.67103   3      5.69658
      0.00000     -5.03157     -2.67103   3      5.69658
      4.98311      1.51483     -2.67103   3      5.85325
     -4.98311     -1.51483     -2.67103   3      5.85325
     -4.98311      1.51483     -2.67103   3      5.85325
      4.98311     -1.51483     -2.67103   3      5.85325
     -4.98311     -1.75837      2.63333   3      5.90404
     -4.98311      1.75837      2.63333   3      5.90404
      4.98311     -1.75837      2.63333   3      5.90404
      4.98311      1.75837      2.63333   3      5.90404
     -4.98311     -3.27320      0.07334   4      5.96243
     -4.98311      3.27320      0.07334   4      5.96243
      4.98311     -3.27320      0.07334   4      5.96243
      4.98311      3.27320      0.07334   4      5.96243
     -0.00000      3.27320     -5.30436   5      6.23298
      0.00000     -3.27320     -5.30436   5      6.23298
      0.00000     -3.27320      5.30436   5      6.23298
     -0.00000      3.27320      5.30436   5      6.23298
     -0.00000      6.54640      0.00000   5      6.54640
      0.00000     -6.54640      0.00000   5      6.54640
     -2.49155     -1.63659     -6.07974   2      6.77123
      2.49155     -1.63659     -6.07974   2      6.77123
      2.49155      1.63659     -6.07974   2      6.77123
     -2.49155      1.63659     -6.07974   2      6.77123
     -2.49155     -4.90980      4.52898   2      7.12921
      2.49155     -4.90980      4.52898   2      7.12921
      2.49155      4.90980      4.52898   2      7.12921
     -2.49155      4.90980      4.52898   2      7.12921
      4.98311      0.00000     -5.23102   4      7.22461
     -4.98311      0.00000     -5.23102   4      7.22461
     -2.49155     -6.54640      1.89866   1      7.25728
     -2.49155      6.54640      1.89866   1      7.25728
      2.49155     -6.54640      1.89866   1      7.25728
      2.49155      6.54640      1.89866   1      7.25728
     -4.98311      0.00000      5.37770   4      7.33151
      4.98311      0.00000      5.37770   4      7.33151
      4.98311      4.78803      2.63333   3      7.39534
     -4.98311     -4.78803      2.63333   3      7.39534
     -4.98311      4.78803      2.63333   3      7.39534
      4.98311     -4.78803      2.63333   3      7.39534
      4.98311      5.03157     -2.67103   3      7.56852
     -4.98311     -5.03157     -2.67103   3      7.56852
     -4.98311      5.03157     -2.67103   3      7.56852
      4.98311     -5.03157     -2.67103   3      7.56852
     -2.49155      0.00000      7.22815   6      7.64552
      2.49155      0.00000      7.22815   6      7.64552
     -7.47466     -1.63661     -0.77538   2      7.69092
     -7.47466      1.63661     -0.77538   2      7.69092
      7.47466     -1.63661     -0.77538   2      7.69092
      7.47466      1.63661     -0.77538   2      7.69092
     -7.47466      0.00000      1.89866   1      7.71204
      7.47466      0.00000      1.89866   1      7.71204
     -2.49155      6.54640     -3.38058   6      7.77762
      2.49155      6.54640     -3.38058   6      7.77762
     -2.49155     -6.54640     -3.38058   6      7.77762
      2.49155     -6.54640     -3.38058   6      7.77762
      4.98311     -3.27320     -5.30436   5      7.98007
      4.98311      3.27320     -5.30436   5      7.98007
     -4.98311     -3.27320     -5.30436   5      7.98007
     -4.98311     -3.27320      5.30436   5      7.98007
     -4.98311      3.27320     -5.30436   5      7.98007
     -4.98311      3.27320      5.30436   5      7.98007
      4.98311     -3.27320      5.30436   5      7.98007
      4.98311      3.27320      5.30436   5      7.98007
      0.00000     -1.51483      7.93769   3      8.08094
     -0.00000      1.51483      7.93769   3      8.08094
      0.00000     -1.75837     -7.97540   3      8.16693
