natx =      536
    x       y        z       iph  
      2.29760     -7.01867      1.69898   8      7.57807
      6.41074     -3.42260     -2.16684   1      7.58333
      7.38882      0.20221     -1.69843   3      7.58421
      6.37767      0.99456     -3.98642  11      7.58653
      4.87698      5.54561     -1.80244   5      7.60181
     -4.84468      5.58339      1.80303   9      7.60895
      3.74444     -6.61264     -0.46011   7      7.61312
      3.06768     -1.96393      6.72882   8      7.65145
     -2.51309      0.49087      7.22875   5      7.66886
      2.54538      0.52865     -7.22816   9      7.68145
      2.29760     -4.97944      5.38371   8      7.68493
      0.55849     -7.69090     -0.74442   6      7.74700
     -3.73195     -0.96187      6.72159   2      7.74806
      3.74444     -5.38547     -4.14485   7      7.75911
     -4.84468      2.63746      5.48776   9      7.78092
      2.29760      5.13003      5.38371   8      7.78335
      0.48830      7.72997     -0.82396   5      7.78909
      4.80679     -2.63616     -5.56670   6      7.81298
      4.87698      2.67524     -5.48717   5      7.81350
     -1.04546     -3.52077      6.90991   1      7.82532
      5.36528      3.16611      4.74307   4      7.82989
     -0.97933      6.58871     -4.18985   1      7.86925
     -5.76923     -5.38547     -0.50456   7      7.90834
      1.70716     -0.92677     -7.68626   2      7.92792
      7.38882     -2.09085      1.98630   3      7.93169
     -2.51309      0.49087     -7.51017   5      7.93469
     -5.76923      3.49683     -4.18929   7      7.94115
     -1.01239      6.04930      5.04476  11      7.94157
      2.54538      0.52865      7.51077   9      7.94796
     -7.39132     -2.09085     -2.05971   3      7.95271
     -0.00125     -7.14559      3.64802   3      8.02294
     -0.00125     -7.14559     -3.72144   3      8.05658
      7.94856      0.74753      1.27858   6      8.08536
     -4.32239     -4.97944      4.70581   8      8.10078
     -0.97933      1.63213     -7.87458   1      8.10136
     -1.01239     -7.93793      1.36003  11      8.11698
     -4.57017     -2.41728      6.26349   9      8.12164
      3.65811      4.12797     -5.99433   2      8.14579
     -4.32239      5.13003      4.70581   8      8.19421
      5.36653      0.20221     -6.27442   3      8.25886
     -6.83158      0.74753      4.60203   6      8.27091
     -4.32239      3.09081     -6.34838   8      8.27877
     -7.39007      3.16611     -2.02301   4      8.29035
      7.39007      3.16611      2.02301   4      8.29035
      6.37767     -4.09408      3.38304  10      8.29946
     -4.32239     -7.01867      1.02108   8      8.30586
     -5.68290     -5.98151      1.34493   2      8.35958
      2.81989     -4.52609     -6.45243   9      8.37085
      6.34461      1.53397      5.24819   1      8.37560
      2.81989     -7.47202     -2.76770   9      8.45240
      0.55849      2.41858     -8.11389   6      8.48508
     -8.40246      0.99456     -0.66298  11      8.48705
     -2.02479      8.22085     -0.96467   4      8.52131
      0.48830     -2.37950     -8.19342   5      8.54591
     -0.97933     -8.47734     -0.50512   1      8.54866
      6.37767     -4.09408     -3.98642  10      8.56316
     -5.68290     -6.01661     -2.33980   2      8.60056
      3.74444      3.49683      6.90935   7      8.60161
     -5.68290      4.09287      5.02966   2      8.62232
     -1.04546     -3.52077     -7.82901   1      8.64767
     -4.84468     -4.52609     -5.56643   9      8.65688
