parent_dir	m00	m01	m02	m10	m11	m12	m20	m21	m22
mp-1001780_Cu	0.0	3.218330077941328e-05	0.09649335898745458	3.218330077941328e-05	0.0	0.09646117568667516	0.09649335898745458	0.09646117568667516	0.0
mp-1006330_Cu	0.0	1.8211244662128902e-08	1.2194348989384245e-07	1.8211244662128902e-08	0.0	1.4015473455597134e-07	1.2194348989384245e-07	1.4015473455597134e-07	0.0
mp-1008922_Cu	0.0	2.3056719866885777e-06	4.473113655631131e-06	2.3056719866885777e-06	0.0	6.778785642319708e-06	4.473113655631131e-06	6.778785642319708e-06	0.0
mp-1008923_Cu	0.0	1.533564583655907e-07	1.9244969055214927e-07	1.533564583655907e-07	0.0	3.4580614891774e-07	1.9244969055214927e-07	3.4580614891774e-07	0.0
mp-1010136_Cu	0.0	0.006732744116117306	0.0041164333399913095	0.006732744116117306	0.0	0.002616310776125996	0.0041164333399913095	0.002616310776125996	0.0
mp-1016224_Cu	0.0	0.06521183071505698	0.0317011535654192	0.06521183071505698	0.0	0.03351067714963779	0.0317011535654192	0.03351067714963779	0.0
mp-1016285_Cu	0.0	3.976833196965482e-07	0.02179133286642498	3.976833196965482e-07	0.0	0.021790935183105282	0.02179133286642498	0.021790935183105282	0.0
mp-1018029_Cu	0.0	7.657728329798115e-08	1.8002974073589623e-07	7.657728329798115e-08	0.0	2.5660702403387737e-07	1.8002974073589623e-07	2.5660702403387737e-07	0.0
mp-1018053_Cu	0.0	0.0007340776719023325	0.2618877548896569	0.0007340776719023325	0.0	0.2626218325615592	0.2618877548896569	0.2626218325615592	0.0
mp-1018713_Cu	0.0	1.1867646609380292e-06	0.13824198520043463	1.1867646609380292e-06	0.0	0.1382407984357737	0.13824198520043463	0.1382407984357737	0.0
mp-1018730_Cu	0.0	1.0026617728358843e-06	0.29765490715733883	1.0026617728358843e-06	0.0	0.29765590981911166	0.29765490715733883	0.29765590981911166	0.0
mp-1018798_Cu	0.0	1.0899257052982273e-09	0.22743641492104175	1.0899257052982273e-09	0.0	0.22743641383111604	0.22743641492104175	0.22743641383111604	0.0
mp-1018800_Cu	0.0	2.4816635614928204e-08	0.03721527536651259	2.4816635614928204e-08	0.0	0.037215300183148205	0.03721527536651259	0.037215300183148205	0.0
mp-1021659_Cu	0.0	0.039232795245737064	0.5278469641330167	0.039232795245737064	0.0	0.5670797593787537	0.5278469641330167	0.5670797593787537	0.0
mp-1022721_Cu	0.0	7.58024232489927e-10	7.886238188580603e-08	7.58024232489927e-10	0.0	7.810435765331611e-08	7.886238188580603e-08	7.810435765331611e-08	0.0
mp-1023125_Cu	0.0	0.025312022836971843	0.3862169579407445	0.025312022836971843	0.0	0.4115289807777164	0.3862169579407445	0.4115289807777164	0.0
mp-1023128_Cu	0.0	1.0172874041513513e-06	3.099546900947204e-06	1.0172874041513513e-06	0.0	4.116834305098555e-06	3.099546900947204e-06	4.116834305098555e-06	0.0
mp-1023610_Cu	0.0	8.065041323898196e-07	0.050145725700133606	8.065041323898196e-07	0.0	0.05014491919600122	0.050145725700133606	0.05014491919600122	0.0
mp-1024954_Cu	0.0	1.8224687245552868e-06	0.12387133621402852	1.8224687245552868e-06	0.0	0.12387315868275307	0.12387133621402852	0.12387315868275307	0.0
mp-1025128_Cu	0.0	1.0274155249917639e-06	0.0816923462655327	1.0274155249917639e-06	0.0	0.0816913188500077	0.0816923462655327	0.0816913188500077	0.0
mp-1025177_Cu	0.0	0.007858321908888022	0.3862159612199713	0.007858321908888022	0.0	0.39407428312885934	0.3862159612199713	0.39407428312885934	0.0
mp-1025265_Cu	0.0	0.009988073492287306	0.5679246030258989	0.009988073492287306	0.0	0.5779126765181861	0.5679246030258989	0.5779126765181861	0.0
mp-1025305_Cu	0.0	1.387287389771996e-06	0.06523539594367615	1.387287389771996e-06	0.0	0.06523678323106592	0.06523539594367615	0.06523678323106592	0.0
mp-1025338_Cu	0.0	0.007935843018733303	0.41647769132304946	0.007935843018733303	0.0	0.4244135343417828	0.41647769132304946	0.4244135343417828	0.0
mp-1025440_Cu	0.0	9.939651163745535e-07	0.253803854677987	9.939651163745535e-07	0.0	0.2538028607128706	0.253803854677987	0.2538028607128706	0.0
mp-1026857_Cu	0.0	2.9790847601155875e-07	0.05792690136013202	2.9790847601155875e-07	0.0	0.057926603451656004	0.05792690136013202	0.057926603451656004	0.0
mp-1026863_Cu	0.0	1.780619597932418e-06	0.01088140923936282	1.780619597932418e-06	0.0	0.010879628619764888	0.01088140923936282	0.010879628619764888	0.0
mp-1026865_Cu	0.0	6.631006287402412e-09	0.06184588535333304	6.631006287402412e-09	0.0	0.061845878722326754	0.06184588535333304	0.061845878722326754	0.0
mp-1026866_Cu	0.0	2.4916320920221553e-08	0.06506334390896219	2.4916320920221553e-08	0.0	0.06506331899264127	0.06506334390896219	0.06506331899264127	0.0
mp-1026868_Cu	0.0	1.1887773315886947e-06	0.049810897074815765	1.1887773315886947e-06	0.0	0.04980970829748418	0.049810897074815765	0.04980970829748418	0.0
mp-1026869_Cu	0.0	4.847148795283993e-08	0.05029616728115633	4.847148795283993e-08	0.0	0.05029621575264428	0.05029616728115633	0.05029621575264428	0.0
mp-1026872_Cu	0.0	1.5805234921327536e-06	0.056399786622771564	1.5805234921327536e-06	0.0	0.056401367146263696	0.056399786622771564	0.056401367146263696	0.0
mp-1026873_Cu	0.0	2.7964169210643957e-07	0.06605416728649378	2.7964169210643957e-07	0.0	0.06605388764480168	0.06605416728649378	0.06605388764480168	0.0
