/home/sethshj/Programs/Cr_data/13NOV24	m00	m01	m02	m10	m11	m12	m20	m21	m22
mp-1029458_Zn	0.0	0.15474342217143566	0.13957110599793318	0.15474342217143566	0.0	0.13248608660147584	0.13957110599793318	0.13248608660147584	0.0
mp-1035830_Zn	0.0	0.2747674300730443	0.13880063840381981	0.2747674300730443	0.0	0.16789909062937938	0.13880063840381981	0.16789909062937938	0.0
mp-1037502_Zn	0.0	1.0173332183303997e-05	0.0829012833999095	1.0173332183303997e-05	0.0	0.08290612106980648	0.0829012833999095	0.08290612106980648	0.0
mp-1037573_Zn	0.0	1.0090354371564255e-05	0.3925031334858431	1.0090354371564255e-05	0.0	0.3925087650105969	0.3925031334858431	0.3925087650105969	0.0
mp-1043308_Zn	0.0	0.1836690199447565	0.29286106597181577	0.1836690199447565	0.0	0.3419646656645317	0.29286106597181577	0.3419646656645317	0.0
mp-1044021_Zn	0.0	0.11490601786948058	0.08566153043001438	0.11490601786948058	0.0	0.16931118487697652	0.08566153043001438	0.16931118487697652	0.0
mp-1044221_Zn	0.0	0.058354682098873796	0.10098138450942702	0.058354682098873796	0.0	0.09061230783382687	0.10098138450942702	0.09061230783382687	0.0
mp-1044311_Zn	0.0	0.03013756005214651	0.13857819462635246	0.03013756005214651	0.0	0.11384642993958065	0.13857819462635246	0.11384642993958065	0.0
mp-1044931_Zn	0.0	0.16911345998193217	0.08921439371974824	0.16911345998193217	0.0	0.21954593577350673	0.08921439371974824	0.21954593577350673	0.0
mp-1046856_Zn	0.0	0.34877120376689913	0.14210508212819534	0.34877120376689913	0.0	0.33724452676149147	0.14210508212819534	0.33724452676149147	0.0
mp-1049220_Zn	0.0	0.12290725191607012	0.07058770819570653	0.12290725191607012	0.0	0.1387887420414039	0.07058770819570653	0.1387887420414039	0.0
mp-1049223_Zn	0.0	0.27417317525296664	0.11988217338140919	0.27417317525296664	0.0	0.24545737338233709	0.11988217338140919	0.24545737338233709	0.0
mp-1049246_Zn	0.0	0.2657123163863744	0.09079673816449162	0.2657123163863744	0.0	0.2838166936879443	0.09079673816449162	0.2838166936879443	0.0
mp-1080726_Zn	0.0	2.343233282231052e-05	0.3171312217032743	2.343233282231052e-05	0.0	0.3171313143300051	0.3171312217032743	0.3171313143300051	0.0
mp-1207569_Zn	0.0	0.06985228737661248	0.11604761942107385	0.06985228737661248	0.0	0.13911058465076123	0.11604761942107385	0.13911058465076123	0.0
mp-1245698_Zn	0.0	0.04660112410887662	0.1560436296101991	0.04660112410887662	0.0	0.1830409833107331	0.1560436296101991	0.1830409833107331	0.0
mp-1277741_Zn	0.0	0.08338670078038471	0.18626243866265585	0.08338670078038471	0.0	0.15361984567485926	0.18626243866265585	0.15361984567485926	0.0
mp-1326240_Zn	0.0	0.1609730359497741	0.08973044282849875	0.1609730359497741	0.0	0.149340068100504	0.08973044282849875	0.149340068100504	0.0
mp-1328934_Zn	0.0	0.15398082845075198	0.2626533146382486	0.15398082845075198	0.0	0.12453568116690106	0.2626533146382486	0.12453568116690106	0.0
mp-1347006_Zn	0.0	0.11562482318559708	0.20589408695298497	0.11562482318559708	0.0	0.1818350850883751	0.20589408695298497	0.1818350850883751	0.0
mp-728124_Zn	0.0	0.059579562055863906	0.13846518771362212	0.059579562055863906	0.0	0.14962306483096915	0.13846518771362212	0.14962306483096915	0.0
mp-1007974_Ni	0.0	0.1332904613275988	3.7356386705042922e-06	0.1332904613275988	0.0	0.13329332192522042	3.7356386705042922e-06	0.13329332192522042	0.0
mp-1018161_Ni	0.0	2.4828258745228885e-06	4.29399742323445e-06	2.4828258745228885e-06	0.0	4.6449166744487965e-06	4.29399742323445e-06	4.6449166744487965e-06	0.0
mp-1028345_Ni	0.0	2.2117018937824818e-06	0.03390049621910118	2.2117018937824818e-06	0.0	0.03389849011096675	0.03390049621910118	0.03389849011096675	0.0
mp-1034790_Ni	0.0	0.09239050648724387	0.10052003788432463	0.09239050648724387	0.0	0.0305159161868618	0.10052003788432463	0.0305159161868618	0.0
mp-1036879_Ni	0.0	5.738300324388604e-06	0.11339949697437253	5.738300324388604e-06	0.0	0.11339570630944366	0.11339949697437253	0.11339570630944366	0.0
mp-1044071_Ni	0.0	0.0843571002362405	0.1394856317109156	0.0843571002362405	0.0	0.1268833230783433	0.1394856317109156	0.1268833230783433	0.0
mp-1048931_Ni	0.0	0.18788964730665272	0.07128318682186088	0.18788964730665272	0.0	0.13858796796974884	0.07128318682186088	0.13858796796974884	0.0
mp-1077077_Ni	0.0	0.019478776804579795	0.09197894639557014	0.019478776804579795	0.0	0.07445063360119117	0.09197894639557014	0.07445063360119117	0.0
mp-1079966_Ni	0.0	0.09203636366494147	0.19258533038057649	0.09203636366494147	0.0	0.14205283109406025	0.19258533038057649	0.14205283109406025	0.0
mp-10885_Ni	0.0	1.7102667345930586e-06	3.3733585486994715e-06	1.7102667345930586e-06	0.0	4.839488681108931e-06	3.3733585486994715e-06	4.839488681108931e-06	0.0
mp-1101260_Ni	0.0	0.0019196239452050935	0.09005224228029249	0.0019196239452050935	0.0	0.0887226931135272	0.09005224228029249	0.0887226931135272	0.0
mp-1173211_Ni	0.0	0.38382906490245866	0.5756834472216457	0.38382906490245866	0.0	0.522079217416335	0.5756834472216457	0.522079217416335	0.0
mp-1178023_Ni	0.0	0.5953812720614461	0.4688744741291573	0.5953812720614461	0.0	0.29477808333507444	0.4688744741291573	0.29477808333507444	0.0
mp-1221891_Ni	0.0	0.0006759662560160201	0.01118732322251659	0.0006759662560160201	0.0	0.01051183824997129	0.01118732322251659	0.01051183824997129	0.0
mp-1223481_Ni	0.0	0.14072117453154462	0.10228745865867843	0.14072117453154462	0.0	0.056995366442054315	0.10228745865867843	0.056995366442054315	0.0
mp-1226279_Ni	0.0	0.0019569222400782774	0.03382942561300878	0.0019569222400782774	0.0	0.03191187198834662	0.03382942561300878	0.03191187198834662	0.0
mp-1226434_Ni	0.0	0.1596133024614079	0.08257839137863125	0.1596133024614079	0.0	0.08157847444165896	0.08257839137863125	0.08157847444165896	0.0
mp-1228914_Ni	0.0	0.08328621002251671	0.03982605226805505	0.08328621002251671	0.0	0.0486121564670916	0.03982605226805505	0.0486121564670916	0.0
mp-1245402_Ni	0.0	0.4839125630385194	0.27813891735806917	0.4839125630385194	0.0	0.3038809831476457	0.27813891735806917	0.3038809831476457	0.0
mp-1881105_Ni	0.0	0.29426292945340954	0.22782579652711762	0.29426292945340954	0.0	0.19669652047296304	0.22782579652711762	0.19669652047296304	0.0
mp-631502_Ni	0.0	2.6979233871838064e-06	5.19315579407978e-06	2.6979233871838064e-06	0.0	5.876826600201839e-06	5.19315579407978e-06	5.876826600201839e-06	0.0
mp-690539_Ni	0.0	0.003259483714573452	0.01897469885926391	0.003259483714573452	0.0	0.015715656190274773	0.01897469885926391	0.015715656190274773	0.0
mp-754644_Ni	0.0	0.1049002750899719	0.10565036481024694	0.1049002750899719	0.0	0.14108403961079694	0.10565036481024694	0.14108403961079694	0.0
mp-755220_Ni	0.0	0.22794165536062083	0.3260066648738467	0.22794165536062083	0.0	0.30940547453630274	0.3260066648738467	0.30940547453630274	0.0
mp-757068_Ni	0.0	0.11607759379543225	0.1078438871071325	0.11607759379543225	0.0	0.08983689179079843	0.1078438871071325	0.08983689179079843	0.0
mp-757137_Ni	0.0	0.32694138573537596	0.6832598190301811	0.32694138573537596	0.0	0.6890585193621163	0.6832598190301811	0.6890585193621163	0.0
mp-757267_Ni	0.0	0.23834461124949582	0.091665163134683	0.23834461124949582	0.0	0.23426909831223028	0.091665163134683	0.23426909831223028	0.0
mp-777498_Ni	0.0	0.027860797961829005	0.12820477772652464	0.027860797961829005	0.0	0.10239316047674396	0.12820477772652464	0.10239316047674396	0.0
mp-850902_Ni	0.0	0.028427836597376917	0.12590411969750284	0.028427836597376917	0.0	0.10088110555678116	0.12590411969750284	0.10088110555678116	0.0
mp-1022971_Mn	0.0	0.4291293775723663	0.11698248171639258	0.4291293775723663	0.0	0.31626632299972557	0.11698248171639258	0.31626632299972557	0.0
mp-1028055_Mn	0.0	0.3281926513160597	0.010408171848053253	0.3281926513160597	0.0	0.3342526264893252	0.010408171848053253	0.3342526264893252	0.0
mp-1036101_Mn	0.0	0.5420328752936779	0.09065303453410577	0.5420328752936779	0.0	0.5333299835973593	0.09065303453410577	0.5333299835973593	0.0
mp-1040818_Mn	0.0	0.6554405793401957	0.2585021332814125	0.6554405793401957	0.0	0.645050039177569	0.2585021332814125	0.645050039177569	0.0
mp-1097244_Mn	0.0	0.37835214228694425	0.006175020119781959	0.37835214228694425	0.0	0.3812404729388974	0.006175020119781959	0.3812404729388974	0.0
