Name,0,1,2,3,4,5,6,7,8
mp-1027834_Cr,0.0,4.2009454385439426e-08,0.003954701254948926,4.2009454385439426e-08,0.0,0.003954685548779005,0.003954701254948926,0.003954685548779005,0.0
mp-1027789_Cr,0.0,3.482090631236905e-08,0.0040960076757557105,3.482090631236905e-08,0.0,0.004096012479847758,0.0040960076757557105,0.004096012479847758,0.0
mp-1026816_Cr,0.0,1.1399413890830692e-07,0.0036280585535824047,1.1399413890830692e-07,0.0,0.0036280394249807893,0.0036280585535824047,0.0036280394249807893,0.0
mp-1026821_Cr,0.0,1.0051439886723485e-07,0.005143252640857246,1.0051439886723485e-07,0.0,0.00514333804099859,0.005143252640857246,0.00514333804099859,0.0
mp-1026868_Cr,0.0,6.136151860887647e-08,0.003108102024036132,6.136151860887647e-08,0.0,0.0031081275024786538,0.003108102024036132,0.0031081275024786538,0.0
mp-1025175_Cr,0.0,0.020222414520247475,0.03233668967548472,0.020222414520247475,0.0,0.03280324856254719,0.03233668967548472,0.03280324856254719,0.0
mp-1025181_Cr,0.0,0.01940621330846673,0.03371866759976193,0.01940621330846673,0.0,0.032264827902949614,0.03371866759976193,0.032264827902949614,0.0
mp-1025231_Cr,0.0,0.027441887673591923,0.025478535891945875,0.027441887673591923,0.0,0.039715493439274274,0.025478535891945875,0.039715493439274274,0.0
mp-1025239_Cr,0.0,0.00813593789761454,0.014766041777998827,0.00813593789761454,0.0,0.00790858995733246,0.014766041777998827,0.00790858995733246,0.0
mp-1025266_Cr,0.0,0.026873699223152758,0.024205837262756602,0.026873699223152758,0.0,0.014994591783263223,0.024205837262756602,0.014994591783263223,0.0
mp-1025278_Cr,0.0,0.014815322693675918,0.012535572337102112,0.014815322693675918,0.0,0.01794555054263345,0.012535572337102112,0.01794555054263345,0.0
mp-1025323_Cr,0.0,0.028190336636968905,0.024578977862183216,0.028190336636968905,0.0,0.015192260097424887,0.024578977862183216,0.015192260097424887,0.0
mp-1025345_Cr,0.0,0.016779765990030164,0.008550095586873184,0.016779765990030164,0.0,0.017720433168690913,0.008550095586873184,0.017720433168690913,0.0
mp-1025372_Cr,0.0,0.02809409578628535,0.024524291264360516,0.02809409578628535,0.0,0.01533620550623191,0.024524291264360516,0.01533620550623191,0.0
mp-1025380_Cr,0.0,0.01166862806949574,0.01912999878684021,0.01166862806949574,0.0,0.008375158703817736,0.01912999878684021,0.008375158703817736,0.0
mp-1025503_Cr,0.0,0.017973799229285273,0.01821392316625255,0.017973799229285273,0.0,0.007981564906186588,0.01821392316625255,0.007981564906186588,0.0
mp-1026399_Cr,0.0,5.693995932826033e-08,0.001996975400507278,5.693995932826033e-08,0.0,0.0019969613913340383,0.001996975400507278,0.0019969613913340383,0.0
mp-1026434_Cr,0.0,3.654942201726105e-08,0.003477265806156567,3.654942201726105e-08,0.0,0.0034772533598203177,0.003477265806156567,0.0034772533598203177,0.0
mp-1026470_Cr,0.0,5.222270818544295e-08,0.0028818029812854628,5.222270818544295e-08,0.0,0.002881767564687106,0.0028818029812854628,0.002881767564687106,0.0
mp-1026478_Cr,0.0,6.374443304137782e-08,0.003846791981822774,6.374443304137782e-08,0.0,0.0038467696040141953,0.003846791981822774,0.0038467696040141953,0.0
mp-1026487_Cr,0.0,1.6449804347177823e-07,0.002451420413940418,1.6449804347177823e-07,0.0,0.0024512646649330412,0.002451420413940418,0.0024512646649330412,0.0
mp-1026489_Cr,0.0,6.777971070144198e-08,0.002865261488464561,6.777971070144198e-08,0.0,0.002865255897355017,0.002865261488464561,0.002865255897355017,0.0
mp-1026492_Cr,0.0,5.7798483215188897e-08,0.0013439353661742538,5.7798483215188897e-08,0.0,0.0013439158168360246,0.0013439353661742538,0.0013439158168360246,0.0
