 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    2.0000000000000000E-002  eV
 efermi =   -5.6992884500000001       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1135527501E+001  -0.8145141799E+003   0.1298671838E+002   0.9997473732E+000  -0.8147200000E+003   0.1299000000E+002
  -0.1131852570E+001  -0.7525090902E+003   0.1183299800E+002   0.9997463667E+000  -0.7527000000E+003   0.1183600000E+002
  -0.1128177639E+001  -0.6960427091E+003   0.1076825719E+002   0.9997453521E+000  -0.6962200000E+003   0.1077100000E+002
  -0.1124502708E+001  -0.6446951283E+003   0.9787297037E+001   0.9997443295E+000  -0.6448600000E+003   0.9789800000E+001
  -0.1120827777E+001  -0.5980564386E+003   0.8883219079E+001   0.9997432985E+000  -0.5982100000E+003   0.8885500000E+001
  -0.1117152847E+001  -0.5557467245E+003   0.8050924414E+001   0.9997422593E+000  -0.5558900000E+003   0.8053000000E+001
  -0.1113477916E+001  -0.5174360589E+003   0.7285414131E+001   0.9997412115E+000  -0.5175700000E+003   0.7287300000E+001
  -0.1109802985E+001  -0.4828045132E+003   0.6581989260E+001   0.9997401553E+000  -0.4829300000E+003   0.6583700000E+001
  -0.1106128054E+001  -0.4515321601E+003   0.5936150797E+001   0.9997390903E+000  -0.4516500000E+003   0.5937700000E+001
  -0.1102453123E+001  -0.4233590579E+003   0.5343699673E+001   0.9997380166E+000  -0.4234700000E+003   0.5345100000E+001
  -0.1098778192E+001  -0.3980152682E+003   0.4800836731E+001   0.9997369340E+000  -0.3981200000E+003   0.4802100000E+001
  -0.1095103261E+001  -0.3752808405E+003   0.4303862802E+001   0.9997358425E+000  -0.3753800000E+003   0.4305000000E+001
  -0.1091428330E+001  -0.3549158307E+003   0.3849478623E+001   0.9997347418E+000  -0.3550100000E+003   0.3850500000E+001
  -0.1087753399E+001  -0.3367202846E+003   0.3434484919E+001   0.9997336320E+000  -0.3368100000E+003   0.3435400000E+001
  -0.1084078468E+001  -0.3205142436E+003   0.3055882372E+001   0.9997325128E+000  -0.3206000000E+003   0.3056700000E+001
  -0.1080403538E+001  -0.3061077525E+003   0.2711071567E+001   0.9997313841E+000  -0.3061900000E+003   0.2711800000E+001
  -0.1076728607E+001  -0.2933508461E+003   0.2397453103E+001   0.9997302459E+000  -0.2934300000E+003   0.2398100000E+001
  -0.1073053676E+001  -0.2820935596E+003   0.2112527557E+001   0.9997290980E+000  -0.2821700000E+003   0.2113100000E+001
  -0.1069378745E+001  -0.2721859290E+003   0.1854195411E+001   0.9997279403E+000  -0.2722600000E+003   0.1854700000E+001
  -0.1065703814E+001  -0.2635079827E+003   0.1620457126E+001   0.9997267727E+000  -0.2635800000E+003   0.1620900000E+001
  -0.1062028883E+001  -0.2559497468E+003   0.1409213199E+001   0.9997255950E+000  -0.2560200000E+003   0.1409600000E+001
  -0.1058353952E+001  -0.2493812533E+003   0.1218764025E+001   0.9997244071E+000  -0.2494500000E+003   0.1219100000E+001
  -0.1054679021E+001  -0.2437325183E+003   0.1047410006E+001   0.9997232089E+000  -0.2438000000E+003   0.1047700000E+001
  -0.1051004090E+001  -0.2388835719E+003   0.8937114793E+000   0.9997220002E+000  -0.2389500000E+003   0.8939600000E+000
  -0.1047329159E+001  -0.2347644310E+003   0.7561688042E+000   0.9997207809E+000  -0.2348300000E+003   0.7563800000E+000
  -0.1043654229E+001  -0.2312951153E+003   0.6334522990E+000   0.9997195508E+000  -0.2313600000E+003   0.6336300000E+000
  -0.1039979298E+001  -0.2284056423E+003   0.5243522535E+000   0.9997183099E+000  -0.2284700000E+003   0.5245000000E+000
  -0.1036304367E+001  -0.2260360268E+003   0.4277089489E+000   0.9997170580E+000  -0.2261000000E+003   0.4278300000E+000
  -0.1032629436E+001  -0.2241162869E+003   0.3424626427E+000   0.9997157948E+000  -0.2241800000E+003   0.3425600000E+000
  -0.1028954505E+001  -0.2225964351E+003   0.2676535685E+000   0.9997145204E+000  -0.2226600000E+003   0.2677300000E+000
  -0.1025279574E+001  -0.2214264843E+003   0.2023519558E+000   0.9997132344E+000  -0.2214900000E+003   0.2024100000E+000
  -0.1021604643E+001  -0.2205564475E+003   0.1457380062E+000   0.9997119368E+000  -0.2206200000E+003   0.1457800000E+000
  -0.1017929712E+001  -0.2199563323E+003   0.9702991408E-001   0.9997106275E+000  -0.2200200000E+003   0.9705800000E-001
  -0.1014254781E+001  -0.2195761520E+003   0.5550985893E-001   0.9997093061E+000  -0.2196400000E+003   0.5552600000E-001
  -0.1010579850E+001  -0.2193859146E+003   0.2052000585E-001   0.9997079727E+000  -0.2194500000E+003   0.2052600000E-001
  -0.1006904920E+001  -0.2193556281E+003  -0.8549191161E-002   0.9997066269E+000  -0.2194200000E+003  -0.8551700000E-002
  -0.1003229989E+001  -0.2194652976E+003  -0.3225748991E-001   0.9997052687E+000  -0.2195300000E+003  -0.3226700000E-001
  -0.9995550577E+000  -0.2196749345E+003  -0.5112185823E-001   0.9997038979E+000  -0.2197400000E+003  -0.5113700000E-001
  -0.9958801268E+000  -0.2199645442E+003  -0.6561747393E-001   0.9997025142E+000  -0.2200300000E+003  -0.6563700000E-001
  -0.9922051959E+000  -0.2203241293E+003  -0.7618122396E-001   0.9997011176E+000  -0.2203900000E+003  -0.7620400000E-001
  -0.9885302650E+000  -0.2207236985E+003  -0.8321200457E-001   0.9996997077E+000  -0.2207900000E+003  -0.8323700000E-001
  -0.9848553341E+000  -0.2211532545E+003  -0.8707871908E-001   0.9996982846E+000  -0.2212200000E+003  -0.8710500000E-001
