 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =   0.17050000000000001       eV
 efermi =   -11.221603900000000       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1338468776E+001  -0.5614482490E-002   0.7710658399E-004   0.9978463886E+000  -0.5626600000E-002   0.7727300000E-004
  -0.1334793845E+001  -0.5569032594E-002   0.7628968967E-004   0.9978378087E+000  -0.5581100000E-002   0.7645500000E-004
  -0.1331118914E+001  -0.5524082014E-002   0.7548677380E-004   0.9978291602E+000  -0.5536100000E-002   0.7565100000E-004
  -0.1327443983E+001  -0.5479530959E-002   0.7469883395E-004   0.9978204423E+000  -0.5491500000E-002   0.7486200000E-004
  -0.1323769052E+001  -0.5435479204E-002   0.7392387420E-004   0.9978116540E+000  -0.5447400000E-002   0.7408600000E-004
  -0.1320094122E+001  -0.5391926741E-002   0.7316289211E-004   0.9978027946E+000  -0.5403800000E-002   0.7332400000E-004
  -0.1316419191E+001  -0.5348773783E-002   0.7241389182E-004   0.9977938631E+000  -0.5360600000E-002   0.7257400000E-004
  -0.1312744260E+001  -0.5306020322E-002   0.7167886869E-004   0.9977848588E+000  -0.5317800000E-002   0.7183800000E-004
  -0.1309069329E+001  -0.5263766131E-002   0.7095582686E-004   0.9977757806E+000  -0.5275500000E-002   0.7111400000E-004
  -0.1305394398E+001  -0.5221911423E-002   0.7024576390E-004   0.9977666278E+000  -0.5233600000E-002   0.7040300000E-004
  -0.1301719467E+001  -0.5180456193E-002   0.6954768176E-004   0.9977573993E+000  -0.5192100000E-002   0.6970400000E-004
  -0.1298044536E+001  -0.5139400433E-002   0.6886058247E-004   0.9977480942E+000  -0.5151000000E-002   0.6901600000E-004
  -0.1294369605E+001  -0.5098744138E-002   0.6818546355E-004   0.9977387116E+000  -0.5110300000E-002   0.6834000000E-004
  -0.1290694674E+001  -0.5058487300E-002   0.6752232475E-004   0.9977292504E+000  -0.5070000000E-002   0.6767600000E-004
  -0.1287019743E+001  -0.5018729684E-002   0.6687016811E-004   0.9977197098E+000  -0.5030200000E-002   0.6702300000E-004
  -0.1283344813E+001  -0.4979171968E-002   0.6622799568E-004   0.9977100886E+000  -0.4990600000E-002   0.6638000000E-004
  -0.1279669882E+001  -0.4940113461E-002   0.6559680498E-004   0.9977003860E+000  -0.4951500000E-002   0.6574800000E-004
  -0.1275994951E+001  -0.4901454383E-002   0.6497659575E-004   0.9976906007E+000  -0.4912800000E-002   0.6512700000E-004
  -0.1272320020E+001  -0.4863094959E-002   0.6436637009E-004   0.9976807318E+000  -0.4874400000E-002   0.6451600000E-004
  -0.1268645089E+001  -0.4825035185E-002   0.6376612779E-004   0.9976707782E+000  -0.4836300000E-002   0.6391500000E-004
  -0.1264970158E+001  -0.4787374821E-002   0.6317487097E-004   0.9976607389E+000  -0.4798600000E-002   0.6332300000E-004
  -0.1261295227E+001  -0.4750113862E-002   0.6259459473E-004   0.9976506126E+000  -0.4761300000E-002   0.6274200000E-004
  -0.1257620296E+001  -0.4713152533E-002   0.6202330356E-004   0.9976403982E+000  -0.4724300000E-002   0.6217000000E-004
  -0.1253945365E+001  -0.4676490832E-002   0.6146099724E-004   0.9976300946E+000  -0.4687600000E-002   0.6160700000E-004
  -0.1250270434E+001  -0.4640228514E-002   0.6090767559E-004   0.9976197007E+000  -0.4651300000E-002   0.6105300000E-004
  -0.1246595504E+001  -0.4604265811E-002   0.6036333839E-004   0.9976092152E+000  -0.4615300000E-002   0.6050800000E-004
  -0.1242920573E+001  -0.4568602718E-002   0.5982798545E-004   0.9975986369E+000  -0.4579600000E-002   0.5997200000E-004
  -0.1239245642E+001  -0.4533239229E-002   0.5930061897E-004   0.9975879646E+000  -0.4544200000E-002   0.5944400000E-004
  -0.1235570711E+001  -0.4498275097E-002   0.5878223633E-004   0.9975771970E+000  -0.4509200000E-002   0.5892500000E-004
  -0.1231895780E+001  -0.4463510800E-002   0.5827183977E-004   0.9975663328E+000  -0.4474400000E-002   0.5841400000E-004
  -0.1228220849E+001  -0.4429145846E-002   0.5776942908E-004   0.9975553708E+000  -0.4440000000E-002   0.5791100000E-004
  -0.1224545918E+001  -0.4394980719E-002   0.5727500408E-004   0.9975443096E+000  -0.4405800000E-002   0.5741600000E-004
  -0.1220870987E+001  -0.4361115169E-002   0.5678856457E-004   0.9975331478E+000  -0.4371900000E-002   0.5692900000E-004
  -0.1217196056E+001  -0.4327549190E-002   0.5631011036E-004   0.9975218841E+000  -0.4338300000E-002   0.5645000000E-004
  -0.1213521125E+001  -0.4294282776E-002   0.5583864372E-004   0.9975105170E+000  -0.4305000000E-002   0.5597800000E-004
  -0.1209846195E+001  -0.4261315921E-002   0.5537516200E-004   0.9974990452E+000  -0.4272000000E-002   0.5551400000E-004
  -0.1206171264E+001  -0.4228648620E-002   0.5491766999E-004   0.9974874672E+000  -0.4239300000E-002   0.5505600000E-004
  -0.1202496333E+001  -0.4196181118E-002   0.5446816252E-004   0.9974757815E+000  -0.4206800000E-002   0.5460600000E-004
  -0.1198821402E+001  -0.4163913412E-002   0.5402564190E-004   0.9974639866E+000  -0.4174500000E-002   0.5416300000E-004
  -0.1195146471E+001  -0.4132044990E-002   0.5359010795E-004   0.9974520809E+000  -0.4142600000E-002   0.5372700000E-004
