 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    5.8145000000000009E-002  eV
 efermi =   -12.400641000000000       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1378122644E+001   0.7468688717E-002   0.1386776672E-004   0.9992626257E+000   0.7474200000E-002   0.1387800000E-004
  -0.1374447713E+001   0.7490550459E-002   0.1397264805E-004   0.9992596762E+000   0.7496100000E-002   0.1398300000E-004
  -0.1370772782E+001   0.7512711670E-002   0.1407852769E-004   0.9992567030E+000   0.7518300000E-002   0.1408900000E-004
  -0.1367097851E+001   0.7534972494E-002   0.1418540561E-004   0.9992537059E+000   0.7540600000E-002   0.1419600000E-004
  -0.1363422920E+001   0.7557532777E-002   0.1429428104E-004   0.9992506844E+000   0.7563200000E-002   0.1430500000E-004
  -0.1359747989E+001   0.7580192661E-002   0.1440415471E-004   0.9992476385E+000   0.7585900000E-002   0.1441500000E-004
  -0.1356073059E+001   0.7603052066E-002   0.1451602583E-004   0.9992445676E+000   0.7608800000E-002   0.1452700000E-004
  -0.1352398128E+001   0.7626011063E-002   0.1462889514E-004   0.9992414716E+000   0.7631800000E-002   0.1464000000E-004
  -0.1348723197E+001   0.7649269494E-002   0.1474376186E-004   0.9992383501E+000   0.7655100000E-002   0.1475500000E-004
  -0.1345048266E+001   0.7672727428E-002   0.1486062594E-004   0.9992352028E+000   0.7678600000E-002   0.1487200000E-004
  -0.1341373335E+001   0.7696284937E-002   0.1497848812E-004   0.9992320294E+000   0.7702200000E-002   0.1499000000E-004
  -0.1337698404E+001   0.7720141860E-002   0.1509734838E-004   0.9992288295E+000   0.7726100000E-002   0.1510900000E-004
  -0.1334023473E+001   0.7744098345E-002   0.1521920516E-004   0.9992256029E+000   0.7750100000E-002   0.1523100000E-004
  -0.1330348542E+001   0.7768354231E-002   0.1534205995E-004   0.9992223491E+000   0.7774400000E-002   0.1535400000E-004
  -0.1326673611E+001   0.7792809589E-002   0.1546691195E-004   0.9992190679E+000   0.7798900000E-002   0.1547900000E-004
  -0.1322998680E+001   0.7817364489E-002   0.1559276192E-004   0.9992157589E+000   0.7823500000E-002   0.1560500000E-004
  -0.1319323750E+001   0.7842218770E-002   0.1572160824E-004   0.9992124217E+000   0.7848400000E-002   0.1573400000E-004
  -0.1315648819E+001   0.7867272502E-002   0.1585145246E-004   0.9992090560E+000   0.7873500000E-002   0.1586400000E-004
  -0.1311973888E+001   0.7892625599E-002   0.1598329376E-004   0.9992056614E+000   0.7898900000E-002   0.1599600000E-004
  -0.1308298957E+001   0.7918078211E-002   0.1611713209E-004   0.9992022375E+000   0.7924400000E-002   0.1613000000E-004
  -0.1304624026E+001   0.7943830173E-002   0.1625296742E-004   0.9991987840E+000   0.7950200000E-002   0.1626600000E-004
  -0.1300949095E+001   0.7969781556E-002   0.1639079971E-004   0.9991953005E+000   0.7976200000E-002   0.1640400000E-004
  -0.1297274164E+001   0.7995932352E-002   0.1653062892E-004   0.9991917865E+000   0.8002400000E-002   0.1654400000E-004
