#HD#     0.2268929741E+01     0.1379049573E+02 
    0.1000000000E+00     0.3260283953E-02    -0.7506923261E-04     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.8222418952E+04 
    0.2000000000E+00     0.6532662674E-02    -0.2983600855E-03     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2925740830E+04 
    0.3000000000E+00     0.9805751780E-02    -0.6670967465E-03     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1602630422E+04 
    0.4000000000E+00     0.1307467140E-01    -0.1178594613E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1047435096E+04 
    0.5000000000E+00     0.1633467921E-01    -0.1830254929E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.7541105119E+03 
    0.6000000000E+00     0.1958116334E-01    -0.2619560040E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.5771767734E+03 
    0.7000000000E+00     0.2280963569E-01    -0.3544068941E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.4607957196E+03 
    0.8000000000E+00     0.2601572567E-01    -0.4601413094E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.3794157432E+03 
    0.9000000000E+00     0.2919517421E-01    -0.5789292486E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.3198580909E+03 
    0.1000000000E+01     0.3234382828E-01    -0.7105471927E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2747063191E+03 
    0.1100000000E+01     0.3545763554E-01    -0.8547777549E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2394995539E+03 
    0.1200000000E+01     0.3853263938E-01    -0.1011409351E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2114098588E+03 
    0.1300000000E+01     0.4156497425E-01    -0.1180235887E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1885664556E+03 
    0.1400000000E+01     0.4455086116E-01    -0.1361056466E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1696873441E+03 
    0.1500000000E+01     0.4748660349E-01    -0.1553675108E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1538675361E+03 
    0.1600000000E+01     0.5036858300E-01    -0.1757900484E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1404517915E+03 
    0.1700000000E+01     0.5319325600E-01    -0.1973545670E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1289551994E+03 
    0.1800000000E+01     0.5595714979E-01    -0.2200427903E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1190119817E+03 
    0.1900000000E+01     0.5865685922E-01    -0.2438368360E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1103415458E+03 
    0.2000000000E+01     0.6128904343E-01    -0.2687191938E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1027254110E+03 
    0.2100000000E+01     0.6385042277E-01    -0.2946727055E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.9599117649E+02 
    0.2200000000E+01     0.6633777586E-01    -0.3216805449E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.9000116318E+02 
    0.2300000000E+01     0.6874793676E-01    -0.3497261996E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.8464422386E+02 
    0.2400000000E+01     0.7107779230E-01    -0.3787934531E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.7982974358E+02 
    0.2500000000E+01     0.7332427956E-01    -0.4088663676E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.7548318104E+02 
    0.2600000000E+01     0.7548438335E-01    -0.4399292681E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.7154271141E+02 
    0.2700000000E+01     0.7755513398E-01    -0.4719667267E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.6795666812E+02 
    0.2800000000E+01     0.7953360495E-01    -0.5049635477E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.6468157179E+02 
    0.2900000000E+01     0.8141691087E-01    -0.5389047535E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.6168059610E+02 
    0.3000000000E+01     0.8320220539E-01    -0.5737755705E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.5892236249E+02 
    0.3100000000E+01     0.8488667927E-01    -0.6095614164E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.5637998488E+02 
    0.3200000000E+01     0.8646755851E-01    -0.6462478874E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.5403030641E+02 
    0.3300000000E+01     0.8794210251E-01    -0.6838207458E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.5185328504E+02 
