 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    2.5954000000000002       eV
 efermi =   -12.153941300000000       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.7222687620E+000  -0.7409266361E-004   0.4342469086E-004   0.8939536161E+000  -0.8288200000E-004   0.4857600000E-004
  -0.7185938311E+000  -0.7326140213E-004   0.4368334061E-004   0.8926261925E+000  -0.8207400000E-004   0.4893800000E-004
  -0.7149189002E+000  -0.7244035320E-004   0.4394121771E-004   0.8912664337E+000  -0.8127800000E-004   0.4930200000E-004
  -0.7112439693E+000  -0.7163034284E-004   0.4419822185E-004   0.8898731950E+000  -0.8049500000E-004   0.4966800000E-004
  -0.7075690384E+000  -0.7082952306E-004   0.4445424803E-004   0.8884452801E+000  -0.7972300000E-004   0.5003600000E-004
  -0.7038941075E+000  -0.7003871525E-004   0.4470829936E-004   0.8869814375E+000  -0.7896300000E-004   0.5040500000E-004
  -0.7002191766E+000  -0.6925784624E-004   0.4496115068E-004   0.8854803585E+000  -0.7821500000E-004   0.5077600000E-004
  -0.6965442457E+000  -0.6848507155E-004   0.4521179756E-004   0.8839406734E+000  -0.7747700000E-004   0.5114800000E-004
  -0.6928693148E+000  -0.6772208513E-004   0.4546011841E-004   0.8823609481E+000  -0.7675100000E-004   0.5152100000E-004
  -0.6891943839E+000  -0.6696880315E-004   0.4570598576E-004   0.8807396814E+000  -0.7603700000E-004   0.5189500000E-004
  -0.6855194530E+000  -0.6622337959E-004   0.4594926594E-004   0.8790753001E+000  -0.7533300000E-004   0.5227000000E-004
  -0.6818445221E+000  -0.6548573253E-004   0.4618894129E-004   0.8773661562E+000  -0.7463900000E-004   0.5264500000E-004
  -0.6781695912E+000  -0.6475665175E-004   0.4642574548E-004   0.8756105218E+000  -0.7395600000E-004   0.5302100000E-004
  -0.6744946603E+000  -0.6403604179E-004   0.4665865023E-004   0.8738065852E+000  -0.7328400000E-004   0.5339700000E-004
  -0.6708197294E+000  -0.6332293053E-004   0.4688749888E-004   0.8719524460E+000  -0.7262200000E-004   0.5377300000E-004
  -0.6671447985E+000  -0.6261634851E-004   0.4711212682E-004   0.8700461102E+000  -0.7196900000E-004   0.5414900000E-004
  -0.6634698676E+000  -0.6191793339E-004   0.4733322916E-004   0.8680854850E+000  -0.7132700000E-004   0.5452600000E-004
  -0.6597949367E+000  -0.6122670363E-004   0.4754888582E-004   0.8660683730E+000  -0.7069500000E-004   0.5490200000E-004
  -0.6561200058E+000  -0.6054081614E-004   0.4775977558E-004   0.8639924667E+000  -0.7007100000E-004   0.5527800000E-004
  -0.6524450749E+000  -0.5986274835E-004   0.4796569721E-004   0.8618553421E+000  -0.6945800000E-004   0.5565400000E-004
  -0.6487701439E+000  -0.5919064764E-004   0.4816557929E-004   0.8596544520E+000  -0.6885400000E-004   0.5602900000E-004
  -0.6450952130E+000  -0.5852353002E-004   0.4836006310E-004   0.8573871197E+000  -0.6825800000E-004   0.5640400000E-004
  -0.6414202821E+000  -0.5786297954E-004   0.4854891410E-004   0.8550505311E+000  -0.6767200000E-004   0.5677900000E-004
  -0.6377453512E+000  -0.5720714407E-004   0.4873103265E-004   0.8526417275E+000  -0.6709400000E-004   0.5715300000E-004
