 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    7.9574999999999996       eV
 efermi =   -7.0650813100000001       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1182044512E+001   0.3079649306E-004   0.3665316822E-004   0.9022762529E+000   0.3413200000E-004   0.4062300000E-004
  -0.1178369581E+001   0.3098871179E-004   0.3700805643E-004   0.9019095954E+000   0.3435900000E-004   0.4103300000E-004
  -0.1174694650E+001   0.3117977006E-004   0.3736704089E-004   0.9015402648E+000   0.3458500000E-004   0.4144800000E-004
  -0.1171019719E+001   0.3136876501E-004   0.3773191390E-004   0.9011682327E+000   0.3480900000E-004   0.4187000000E-004
  -0.1167344788E+001   0.3155569606E-004   0.3810086142E-004   0.9007934705E+000   0.3503100000E-004   0.4229700000E-004
  -0.1163669857E+001   0.3174056262E-004   0.3847567392E-004   0.9004159490E+000   0.3525100000E-004   0.4273100000E-004
  -0.1159994926E+001   0.3192246403E-004   0.3885543856E-004   0.9000356386E+000   0.3546800000E-004   0.4317100000E-004
  -0.1156319995E+001   0.3210320015E-004   0.3924104316E-004   0.8996525096E+000   0.3568400000E-004   0.4361800000E-004
  -0.1152645065E+001   0.3228097068E-004   0.3963067604E-004   0.8992665315E+000   0.3589700000E-004   0.4407000000E-004
  -0.1148970134E+001   0.3245667504E-004   0.4002702280E-004   0.8988776736E+000   0.3610800000E-004   0.4453000000E-004
  -0.1145295203E+001   0.3262941411E-004   0.4042827177E-004   0.8984859047E+000   0.3631600000E-004   0.4499600000E-004
  -0.1141620272E+001   0.3280008656E-004   0.4083441037E-004   0.8980911932E+000   0.3652200000E-004   0.4546800000E-004
  -0.1137945341E+001   0.3296689635E-004   0.4124722126E-004   0.8976935071E+000   0.3672400000E-004   0.4594800000E-004
  -0.1134270410E+001   0.3313163986E-004   0.4166489452E-004   0.8972928138E+000   0.3692400000E-004   0.4643400000E-004
  -0.1130595479E+001   0.3329252267E-004   0.4208831388E-004   0.8968890805E+000   0.3712000000E-004   0.4692700000E-004
  -0.1126920548E+001   0.3345044308E-004   0.4251746479E-004   0.8964822736E+000   0.3731300000E-004   0.4742700000E-004
  -0.1123245617E+001   0.3360450562E-004   0.4295233248E-004   0.8960723594E+000   0.3750200000E-004   0.4793400000E-004
  -0.1119570686E+001   0.3375560783E-004   0.4339290193E-004   0.8956593034E+000   0.3768800000E-004   0.4844800000E-004
  -0.1115895756E+001   0.3390285509E-004   0.4384005318E-004   0.8952430708E+000   0.3787000000E-004   0.4897000000E-004
  -0.1112220825E+001   0.3404535451E-004   0.4429197985E-004   0.8948236262E+000   0.3804700000E-004   0.4949800000E-004
  -0.1108545894E+001   0.3418489809E-004   0.4475045632E-004   0.8944009338E+000   0.3822100000E-004   0.5003400000E-004
  -0.1104870963E+001   0.3431880463E-004   0.4521457141E-004   0.8939749573E+000   0.3838900000E-004   0.5057700000E-004
  -0.1101196032E+001   0.3444975936E-004   0.4568520249E-004   0.8935456597E+000   0.3855400000E-004   0.5112800000E-004
  -0.1097521101E+001   0.3457508371E-004   0.4616143871E-004   0.8931130036E+000   0.3871300000E-004   0.5168600000E-004
  -0.1093846170E+001   0.3469567506E-004   0.4664415605E-004   0.8926769512E+000   0.3886700000E-004   0.5225200000E-004
  -0.1090171239E+001   0.3481153689E-004   0.4713244403E-004   0.8922374639E+000   0.3901600000E-004   0.5282500000E-004
