 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =   0.94867999999999986       eV
 efermi =   -7.2245183399999995       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.2030222316E+000   0.8441072240E-005   0.3200864185E-004   0.1620198514E+000   0.5209900000E-004   0.1975600000E-003
  -0.1993473007E+000   0.8043860847E-005   0.3050241173E-004   0.1543956860E+000   0.5209900000E-004   0.1975600000E-003
  -0.1956723698E+000   0.7679739330E-005   0.2912165880E-004   0.1474066552E+000   0.5209900000E-004   0.1975600000E-003
  -0.1919974389E+000   0.7345049119E-005   0.2785250972E-004   0.1409825355E+000   0.5209900000E-004   0.1975600000E-003
  -0.1883225080E+000   0.7036602842E-005   0.2668287793E-004   0.1350621479E+000   0.5209900000E-004   0.1975600000E-003
  -0.1846475771E+000   0.6751620520E-005   0.2560222173E-004   0.1295921327E+000   0.5209900000E-004   0.1975600000E-003
  -0.1809726462E+000   0.6487673489E-005   0.2460133159E-004   0.1245258736E+000   0.5209900000E-004   0.1975600000E-003
  -0.1772977153E+000   0.6242635710E-005   0.2367214555E-004   0.1198225630E+000   0.5209900000E-004   0.1975600000E-003
  -0.1736227844E+000   0.6014641825E-005   0.2280759014E-004   0.1154463968E+000   0.5209900000E-004   0.1975600000E-003
  -0.1699478535E+000   0.5802051196E-005   0.2200144406E-004   0.1113658841E+000   0.5209900000E-004   0.1975600000E-003
  -0.1662729226E+000   0.5603417167E-005   0.2124822157E-004   0.1075532576E+000   0.5209900000E-004   0.1975600000E-003
  -0.1625979917E+000   0.5417460816E-005   0.2054307297E-004   0.1039839693E+000   0.5209900000E-004   0.1975600000E-003
  -0.1589230608E+000   0.5243048556E-005   0.1988169970E-004   0.1006362609E+000   0.5209900000E-004   0.1975600000E-003
  -0.1552481299E+000   0.5079173002E-005   0.1926028174E-004   0.9749079640E-001   0.5209900000E-004   0.1975600000E-003
  -0.1515731990E+000   0.4924936619E-005   0.1867541562E-004   0.9453034835E-001   0.5209900000E-004   0.1975600000E-003
  -0.1478982681E+000   0.4779537718E-005   0.1812406134E-004   0.9173952894E-001   0.5209900000E-004   0.1975600000E-003
  -0.1442233372E+000   0.4642258449E-005   0.1760349679E-004   0.8910455957E-001   0.5209900000E-004   0.1975600000E-003
  -0.1405484063E+000   0.4512454473E-005   0.1711127864E-004   0.8661307267E-001   0.5209900000E-004   0.1975600000E-003
  -0.1368734754E+000   0.4389546077E-005   0.1664520860E-004   0.8425394110E-001   0.5209900000E-004   0.1975600000E-003
  -0.1331985445E+000   0.4273010497E-005   0.1620330436E-004   0.8201713079E-001   0.5209900000E-004   0.1975600000E-003
  -0.1295236136E+000   0.4162375275E-005   0.1578377434E-004   0.7989357329E-001   0.5209900000E-004   0.1975600000E-003
  -0.1258486827E+000   0.4057212503E-005   0.1538499591E-004   0.7787505524E-001   0.5209900000E-004   0.1975600000E-003
  -0.1221737518E+000   0.3957133811E-005   0.1500549638E-004   0.7595412218E-001   0.5209900000E-004   0.1975600000E-003
  -0.1184988209E+000   0.3861786007E-005   0.1464393642E-004   0.7412399484E-001   0.5209900000E-004   0.1975600000E-003
  -0.1148238900E+000   0.3770847261E-005   0.1429909566E-004   0.7237849597E-001   0.5209900000E-004   0.1975600000E-003
  -0.1111489591E+000   0.3684023770E-005   0.1396986000E-004   0.7071198621E-001   0.5209900000E-004   0.1975600000E-003
  -0.1074740282E+000   0.3601046824E-005   0.1365521047E-004   0.6911930793E-001   0.5209900000E-004   0.1975600000E-003
  -0.1037990973E+000   0.3521670235E-005   0.1335421355E-004   0.6759573572E-001   0.5209900000E-004   0.1975600000E-003
  -0.1001241664E+000   0.3445668063E-005   0.1306601245E-004   0.6613693282E-001   0.5209900000E-004   0.1975600000E-003
  -0.9644923546E-001   0.3372832607E-005   0.1278981957E-004   0.6473891260E-001   0.5209900000E-004   0.1975600000E-003
  -0.9277430456E-001   0.3302972632E-005   0.1252490975E-004   0.6339800442E-001   0.5209900000E-004   0.1975600000E-003
  -0.8909937366E-001   0.3235911791E-005   0.1227061428E-004   0.6211082344E-001   0.5209900000E-004   0.1975600000E-003
  -0.8542444276E-001   0.3171487221E-005   0.1202631558E-004   0.6087424367E-001   0.5209900000E-004   0.1975600000E-003
  -0.8174951186E-001   0.3109548301E-005   0.1179144249E-004   0.5968537401E-001   0.5209900000E-004   0.1975600000E-003
